ids,catalog_number,cad
2385904,6/5VXP1060,
2385903,6/5VXP1000,
2385902,6/5VXP950,
2385901,6/5VXP900,
2385900,6/5VXP850,
2385899,6/5VXP800,
2385898,6/5VXP750,
2385897,6/5VXP710,
2385896,5/5VXP1800,
2385895,5/5VXP1600,
2385894,5/5VXP1400,
2385893,5/5VXP1320,
2385892,5/5VXP1250,
2385891,5/5VXP1180,
2385890,5/5VXP1120,
2385889,5/5VXP1060,
2385888,5/5VXP1000,
2385887,5/5VXP950,
2385886,5/5VXP900,
2385885,5/5VXP850,
2385884,5/5VXP800,
2385883,5/5VXP750,
2385882,5/5VXP710,
2385881,4/5VXP1800,
2385880,4/5VXP1600,
2385879,4/5VXP1400,
2385878,4/5VXP1320,
2385877,4/5VXP1250,
2385876,4/5VXP1180,
2385875,4/5VXP1120,
2385874,4/5VXP1060,
2385873,4/5VXP1000,
2385872,4/5VXP950,
2385871,4/5VXP900,
2385870,4/5VXP850,
2385869,4/5VXP800,
2385868,4/5VXP750,
2385867,4/5VXP710,
2385866,3/5VXP1800,
2385865,3/5VXP1600,
2385864,3/5VXP1400,
2385863,3/5VXP1320,
2385862,3/5VXP1250,
2385861,3/5VXP1180,
2385860,3/5VXP1120,
2385859,3/5VXP1060,
2385858,3/5VXP1000,
2385857,3/5VXP950,
2385856,3/5VXP900,
2385855,3/5VXP850,
2385854,3/5VXP800,
2385853,3/5VXP750,
2385852,3/5VXP710,
2385851,2/5VXP1800,
2385850,2/5VXP1600,
2385849,2/5VXP1400,
2385848,2/5VXP1320,
2385847,2/5VXP1250,
2385846,2/5VXP1180,
2385845,2/5VXP1120,
2385844,2/5VXP1060,
2385843,2/5VXP1000,
2385842,2/5VXP950,
2385841,2/5VXP900,
2385840,2/5VXP850,
2385839,2/5VXP800,
2385838,2/5VXP750,
2385837,2/5VXP710,
2385836,5VXP2000,
2385835,5VXP1900,
2385834,5VXP1800,
2385833,5VXP1700,
2385832,5VXP1600,
2385831,5VXP1500,
2385830,5VXP1400,
2385829,5VXP1320,
2385828,5VXP1250,
2385827,5VXP1230,
2385826,5VXP1180,
2385825,5VXP1120,
2385824,5VXP1080,
2385823,5VXP1060,
2385822,5VXP1030,
2385821,5VXP1000,
2385820,5VXP950,
2385819,5VXP900,
2385818,5VXP850,
2385817,5VXP800,
2385816,5VXP750,
2385815,5VXP710,
2385814,5VXP670,
2385813,5VXP630,
2385812,5VXP600,
2385806,SS,
2385806,SS,
2385803,1310,
2385803,1310,
2385803,1310,
2385802,E,
2385800,SD,
2385800,SD,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385792,P,
2385792,P,
2385788,N,
2385788,N,
2385788,N,
2385788,N,
2385787,M,
2385786,2VP60,
2385785,QD10B25.0,
2385784,F192-14MGT-55-3020,
2385783,P72-5MGT-15AL,
2385782,P70-5MGT-15AL,
2385781,P62-5MGT-15AL,
2385780,P60-5MGT-15AL,
2385779,P56-5MGT-15AL,
2385778,P50-5MGT-15AL,
2385777,P48-5MGT-15AL,
2385776,P44-5MGT-15AL,
2385775,P40-5MGT-15AL,
2385774,P38-5MGT-15AL,
2385773,P36-5MGT-15AL,
2385772,P34-5MGT-15AL,
2385771,P32-5MGT-15AL,
2385770,P30-5MGT-15AL,
2385769,P28-5MGT-15AL,
2385768,P26-5MGT-15AL,
2385767,P25-5MGT-15AL,
2385766,P24-5MGT-15AL,
2385765,P22-5MGT-15AL,
2385764,P20-5MGT-15AL,
2385763,P19-5MGT-15AL,
2385762,P18-5MGT-15AL,
2385761,P16-5MGT-15AL,
2385760,P15-5MGT-15AL,
2385759,P14-5MGT-15AL,
2385758,P13-5MGT-15AL,
2385757,P12-5MGT-15AL,
2385756,P72-5MGT-09AL,
2385755,P70-5MGT-09AL,
2385754,P62-5MGT-09AL,
2385753,P60-5MGT-09AL,
2385752,P56-5MGT-09AL,
2385751,P50-5MGT-09AL,
2385750,P48-5MGT-09AL,
2385749,P44-5MGT-09AL,
2385748,P40-5MGT-09AL,
2385747,P38-5MGT-09AL,
2385746,P36-5MGT-09AL,
2385745,P34-5MGT-09AL,
2385744,P32-5MGT-09AL,
2385743,P30-5MGT-09AL,
2385742,P28-5MGT-09AL,
2385741,P26-5MGT-09AL,
2385740,P25-5MGT-09AL,
2385739,P24-5MGT-09AL,
2385738,P22-5MGT-09AL,
2385737,P20-5MGT-09AL,
2385736,P19-5MGT-09AL,
2385735,P18-5MGT-09AL,
2385734,P17-5MGT-09AL,
2385733,P16-5MGT-09AL,
2385732,P15-5MGT-09AL,
2385731,P14-5MGT-09AL,
2385730,P13-5MGT-09AL,
2385729,P12-5MGT-09AL,
2385728,6852BR,
2385727,6964BR,
2385726,6963BR,
2385725,6962BR,
2385724,6961BR,
2385723,6960BR,
2385722,6959BR,
2385721,6958BR,
2385720,6957BR,
2385719,6956BR,
2385718,6955BR,
2385717,6954BR,
2385716,6953BR,
2385715,6952BR,
2385714,6951BR,
2385713,6903BR,
2385712,6942BR,
2385711,6941BR,
2385710,6925BR,
2385709,6972BR,
2385708,6971BR,
2385707,6970BR,
2385706,6950BR,
2385705,6949BR,
2385704,6948BR,
2385703,6947BR,
2385702,6946BR,
2385701,6945BR,
2385700,6944BR,
2385699,6943BR,
2385698,6935BR,
2385697,6934BR,
2385696,6933BR,
2385695,6928BR,
2385694,6927BR,
2385693,6924BR,
2385692,6923BR,
2385691,6922BR,
2385690,6921BR,
2385689,6920BR,
2385688,6919BR,
2385687,6918BR,
2385686,6917BR,
2385685,6916BR,
2385684,6914BR,
2385683,6906BR,
2385682,6905BR,
2385681,6904BR,
2385680,6902BR,
2385679,6901BR,
2385678,6900BR,
2385677,6899BR,
2385676,6898BR,
2385675,6897BR,
2385674,6896BR,
2385673,6893BR,
2385672,6892BR,
2385671,6891BR,
2385670,6890BR,
2385669,6889BR,
2385668,6884BR,
2385667,6883BR,
2385666,6882BR,
2385665,6881BR,
2385664,6880BR,
2385663,6879BR,
2385662,6878BR,
2385661,6877BR,
2385660,6876BR,
2385659,6875BR,
2385658,6874BR,
2385657,6873BR,
2385656,6872BR,
2385655,6871BR,
2385654,6866BR,
2385653,6865BR,
2385652,6864BR,
2385651,6862BR,
2385650,6861BR,
2385649,6860BR,
2385648,6859BR,
2385647,6858BR,
2385646,6857BR,
2385645,6856BR,
2385644,6855BR,
2385643,6854BR,
2385642,6853BR,
2385641,6849BR,
2385640,6848BR,
2385639,6847BR,
2385638,6845BR,
2385637,6844BR,
2385636,6843BR,
2385635,6842BR,
2385634,6840BR,
2385633,6837BR,
2385632,6939BR,
2385631,6913BR,
2385630,6912BR,
2385629,6911BR,
2385628,6910BR,
2385627,6909BR,
2385626,6908BR,
2385625,6907BR,
