file_name,catalog_number,ids
NUTR+2052+A.zip,NUTR 2052 A,317928
NKI+100%2F40.zip,NKI 100/40,317921
NKIA+5909.zip,NKIA 5909,317910
HK+0608.zip,HK 0608,317942
,IR 9X12X12,317908
,IR 220X240X50,317900
,IRZ 15X20X14 IS1,317899
,IR 140X160X50,317898
HK+1516.2RS.zip,HK 1516.2RS,317918
NA+2208.2RSX.zip,NA 2208.2RSX,317912
,IR 35X40X20 5,317894
,IR 38X43X20,317892
NKS+70.zip,NKS 70,317911
NUTR+20+A.zip,NUTR 20 A,317916
AS+75100.zip,AS 75100,317895
NUTR+17+A.zip,NUTR 17 A,317904
NK+5%2F12+TN.zip,NK 5/12 TN,317914
NKIB+5903.zip,NKIB 5903,317897
NUTR+45+A.zip,NUTR 45 A,317901
AS+3047.zip,AS 3047,317906
NA+22%2F8.2RS.zip,NA 22/8.2RS,317915
NKI+7%2F16+TN.zip,NKI 7/16 TN,317905
,IR 95X105X26,317886
,IR 17X20X30 5,317885
1,AXK 7095,317883
,IR 25X32X22,317882
NKI+75%2F25.zip,NKI 75/25,317907
HK+2530.2RS.zip,HK 2530.2RS,317902
NKIB+5909.zip,NKIB 5909,317896
NKIB+5911.zip,NKIB 5911,317884
