ids,catalog_number,cad
2070255,23064 CCK/W33,http://www.skf.com/cadDownload/02017062214585979764484192d056f/PARTserver02017062214585979764484192d056f.zip
2070215,230/950 CAK/C08W507,none
2070360,HK 2010,http://www.skf.com/cadDownload/02017062214584624164419192d056f/PARTserver02017062214584624164419192d056f.zip
2070213,NRT 100 B,none
2070208,22215 E/C4VA237,none
2070207,609-2RSH/C3GJN,none
2070206,6015 M/C4,none
2070238,6220-Z,http://www.skf.com/cadDownload/02017062214590003164486192d056f/PARTserver02017062214590003164486192d056f.zip
2070204,230/800 CA/W33RE10,none
2070205,YAR 205-100-2FW/C4VA261,none
2070203,N 204 ECP/C3,none
2070201,7013 ACE/HCP4AH1DT,none
2070199,6207-2RS1NR,none
2070197,7009 ACE/HCP4ADT,none
2070329,RLS 9-2Z,http://www.skf.com/cadDownload/02017062214590026564488192d056f/PARTserver02017062214590026564488192d056f.zip
2070193,CMAC 240-10,none
2070227,FYT 2.3/16 FM,http://www.skf.com/cadDownload/02017062214590031264489192d056f/PARTserver02017062214590031264489192d056f.zip
2070192,CMAC 240-50,none
2070191,6312-2Z/VA267,none
2070190,7012 FE/HCP4AH1DT,none
2070189,7012 ACE/HCP4AH1DT,none
2070185,7011 CD/P4ADGAGMM,none
2070183,6210-2Z/VA267,none
2070176,GE 240 ESL-2RS,none
2070182,23156 CAC/W513,none
2070181,7012 CE/HCP4ADBG14,none
2070180,C 39/1060 KMB/C3,none
2070177,1637501 AB-01,none
2070179,239/600 CA/C2W33,none
2070178,SE 215 VU,none
2070174,CMAC 225-10,none
2070170,SE 510-608 VU,none
2070169,NU 2338 ECML/L4BC3,none
2070168,KWGA 3060 US,none
2070167,KWGA 2011 UL,none
2070166,KWGA 2010 UL,none
2070165,KWGA 2011 US,none
2070164,KWGA 2010 US,none
2070159,CMAC 231-10,none
2070163,SE 212,none
2070162,SE 512-610 VU,none
2070161,SE 512-610,none
2070160,CMAC 231-50,none
2070158,CMAC 230-50,none
2070315,24138 CCK30/W33,http://www.skf.com/cadDownload/02017062214590101464492192d056f/PARTserver02017062214590101464492192d056f.zip
2070157,CMAC 230-10,none
2070152,BS2-2207-2CS/C3VT143,none
2070149,SE 508-607,none
2070148,SE 507-606,none
2070147,1637502 BA-01,none
2070146,KWGA 1031 US,none
2070145,KWGA 1030 US,none
2070144,KWGA 1020 US,none
2070143,KWGA 1020 UL,none
2070142,SE 209 VU,none
2070140,KWGA 3052,none
2070139,KWGA 3051,none
2070138,KWGA 3050,none
2070137,KWGA 3010,none
2070135,SSED 215,none
2070136,S7008 ACB/HCP4ADBC,none
