id,catalog_number,cad
1249742,7/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX630.dxf
1249741,7/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX600.dxf
1249740,7/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX560.dxf
1249739,7/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX530.dxf
1249738,7/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX500.dxf
1249684,6/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX2000.dxf
176809,6/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1900.dxf
1249683,6/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1800.dxf
1249682,6/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1700.dxf
176806,6/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1600.dxf
1249681,6/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1500.dxf
1249680,6/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1400.dxf
1249679,6/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1320.dxf
176802,6/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1250.dxf
1249677,6/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1120.dxf
176799,6/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1060.dxf
1249676,6/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX1000.dxf
1249696,6/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX950.dxf
1249695,6/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX900.dxf
1249694,6/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX850.dxf
1249693,6/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX800.dxf
1249692,6/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX750.dxf
1249691,6/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX710.dxf
1249690,6/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX670.dxf
1249689,6/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX630.dxf
1249688,6/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX600.dxf
1249687,6/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX560.dxf
1249686,6/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX530.dxf
1249685,6/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_6_5VX500.dxf
176785,5/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX2000.dxf
1249639,5/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1900.dxf
1249638,5/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1800.dxf
1249637,5/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1700.dxf
1249635,5/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1500.dxf
1249636,5/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1600.dxf
1249634,5/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1400.dxf
176778,5/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1320.dxf
1249633,5/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1250.dxf
