ids,catalog_number,cad
2070291,LER 37,none
2070285,24036 CC/HA3C3W33,none
2070286,24036 CCK30/HA3C3W33,none
2070290,LER 117,none
2070288,24048 CCK30/HA3C4W33,none
2070289,LER 109,none
2070294,N 00,http://www.skf.com/cadDownload/02017062414395863625697192d056f/PARTserver02017062414395863625697192d056f.zip
2070283,23968 CAC/HA3C3W33,none
2070282,23160 CACK/HA3C4W33,none
2070280,23148 CCK/HA3C4W33,none
2070281,23152 CACK/HA3C4W33,none
2070279,23060 CACK/HA3C4W33,none
2070274,24036 CCK30/HA3C4,none
2070277,23048 CCK/HA3C4W33,none
2070278,23056 CACK/HA3C4W33,none
2070271,23276 CA/C3W33,none
2070299,215-Z,http://www.skf.com/cadDownload/02017062414401011725700192d056f/PARTserver02017062414401011725700192d056f.zip
2070276,22244 CCK/HA3C4W33,none
2070269,23264 CACK/C3W33,none
2070268,23260 CAC/C3W33,none
2070267,23260 CACK/C3W33,none
2070265,23252 CACK/C3W33,none
2070270,23268 CAK/C3W33,none
2070261,23176 CA/C3W33,none
2070264,23248 CACK/C4W33,none
2070259,23172 CAC/C3W33,none
2070263,23224 CCK/C4W33,none
2070273,239/710 CAK/W33,http://www.skf.com/cadDownload/02017062414402376725708192d056f/PARTserver02017062414402376725708192d056f.zip
2070266,23252 CACK/W33,none
2070275,22238 CCK/HA3C4W33,none
2070258,23152 CACK/C3W33,none
2070272,23284 CAK/C3W33,none
2070260,23176 CAK/C3W33,none
2070254,23056 CC/C3W33,none
2070253,22312 E/C1,none
2070252,22211 E/C2,none
2070249,LM 742710,none
2070250,7212 BEGAY,none
2070246,61909/C3,none
2070247,61904/C3,none
2070262,23176 CA/W33,http://www.skf.com/cadDownload/02017062414403443825710192d056f/PARTserver02017062414403443825710192d056f.zip
2070248,61914/C3,none
2070244,7001 CD/P4ADGB,none
2070243,7302 BEGAP,none
2070257,23084 CAK/W33,http://www.skf.com/cadDownload/02017062414403665325712192d056f/PARTserver02017062414403665325712192d056f.zip
2070245,61906/C3,none
2070242,QJ 208,none
2070255,23064 CCK/W33,http://www.skf.com/cadDownload/02017062414403679325713192d056f/PARTserver02017062414403679325713192d056f.zip
2070239,6308-2Z/C4,none
2070240,6222-2Z/C3,none
2070241,61907/C3,none
2070236,6317-2Z/C3,none
2070237,NN 3022 KTN9/SPW33,none
2070235,6316-2Z/C3,none
2070232,6007-2Z/C3,none
2070233,6017-2RS1/C3,none
2070256,23076 CC/W33,http://www.skf.com/cadDownload/02017062414404331425714192d056f/PARTserver02017062414404331425714192d056f.zip
2070229,YET 205-015,none
2070231,YET 210-115 W,none
2070230,YET 209-112 W,none
2070251,7412 BGBM,http://www.skf.com/cadDownload/02017062414404481225715192d056f/PARTserver02017062414404481225715192d056f.zip
2070234,6219,http://www.skf.com/cadDownload/02017062414404554525717192d056f/PARTserver02017062414404554525717192d056f.zip
2070226,6205 ZNRJEM,none
2070238,6220-Z,http://www.skf.com/cadDownload/02017062414404549825716192d056f/PARTserver02017062414404549825716192d056f.zip
2070223,24036 CC/HA3C4W33,none
2070225,NN 3010 KTN/SPW33,none
2070228,6306 ZNRJEM,none
2070221,24048 CC/HA3C3W33,none
2070222,24036 CC/HA3W33,none
2070220,24048 CC/HA3W33,none
2070217,7226 CD/P4ADBVJ107,none
2070219,23176 CAK/C084S2W33X,none
2070208,22215 E/C4VA237,none
2070224,2318 M,http://www.skf.com/cadDownload/02017062414405367325718192d056f/PARTserver02017062414405367325718192d056f.zip
2070215,230/950 CAK/C08W507,none
2070207,609-2RSH/C3GJN,none
2070227,FYT 2.3/16 FM,http://www.skf.com/cadDownload/02017062414405499925719192d056f/PARTserver02017062414405499925719192d056f.zip
2070213,NRT 100 B,none
2070206,6015 M/C4,none
2070199,6207-2RS1NR,none
2070203,N 204 ECP/C3,none
2070201,7013 ACE/HCP4AH1DT,none
2070205,YAR 205-100-2FW/C4VA261,none
2070197,7009 ACE/HCP4ADT,none
2070214,7203 BE-2RZP,http://www.skf.com/cadDownload/02017062414410058325720192d056f/PARTserver02017062414410058325720192d056f.zip
2070204,230/800 CA/W33RE10,none
2070190,7012 FE/HCP4AH1DT,none
2070185,7011 CD/P4ADGAGMM,none
2070193,CMAC 240-10,none
2070198,6207-Z,http://www.skf.com/cadDownload/02017062414410626225723192d056f/PARTserver02017062414410626225723192d056f.zip
2070192,CMAC 240-50,none
2070189,7012 ACE/HCP4AH1DT,none
2070191,6312-2Z/VA267,none
