id,catalog_number,description,product_substitutions
125503,126628,DODGE 126628 F4B-DL-70M,none
125502,126626,DODGE 126626 F4B-DL-55M,none
125501,126623,DODGE 126623 F4B-DL-40M,none
125500,126622,DODGE 126622 F4B-DL-35M,none
125499,126651,DODGE 126651 F2BZ-DL-45M,none
125498,126650,DODGE 126650 F2BZ-DL-40M,none
125497,126648,DODGE 126648 F2BZ-DL-30M,none
125496,126647,DODGE 126647 F2BZ-DL-25M,none
125495,126646,DODGE 126646 F2BZ-DL-20M,none
125494,67958,DODGE 067958 F2BZ-DL-115,none
125493,65770,DODGE 065770 F2BZ-DL-108,none
125492,64473,DODGE 064473 F2BZ-DL-104S,none
125491,67997,DODGE 067997 F2BZ-DL-014,none
125462,37630,DODGE 037630 P4B528-TAF-415RE,none
125411,128096,DODGE 128096 F2B-SL-107,none
125410,128177,DODGE 128177 F2B-SL-106,none
125409,128095,DODGE 128095 F2B-SL-104,none
125408,128094,DODGE 128094 F2B-SL-103,none
125407,128110,DODGE 128110 P2B-SL-107,none
125406,128111,DODGE 128111 P2B-SL-104S,none
125405,128091,DODGE 128091 F4B-SL-203,none
125404,128182,DODGE 128182 F4B-SL-200L,none
125403,128090,DODGE 128090 F4B-SL-200,none
125402,128088,DODGE 128088 F4B-SL-108,none
125396,128108,DODGE 128108 P2B-SL-103,none
125395,128172,DODGE 128172 P2B-SL-102,none
125394,128171,DODGE 128171 P2B-SL-015,none
125393,128170,DODGE 128170 P2B-SL-014,none
125392,128197,DODGE 128197 P2B-SL-010,none
125391,59637,DODGE 059637 P2B-SL-008,none
125389,128093,DODGE 128093 F2B-SL-100,none
125388,128175,DODGE 128175 F2B-SL-015,none
125387,128092,DODGE 128092 F2B-SL-012,none
125386,128117,DODGE 128117 F2B-SL-008L,none
125385,128151,DODGE 128151 F2B-SL-008,none
125384,48125,DODGE 048125 P2B-UN2-055ME,none
125383,48110,DODGE 048110 P2B-UN2-055M,none
125373,421247,DODGE 421247 INS-UN2-115R,none
125362,48222,DODGE 048222 F4B-UN2-070ME,none
125361,48208,DODGE 048208 F4B-UN2-070M,none
125360,48221,DODGE 048221 F4B-UN2-065ME,none
125359,48206,DODGE 048206 F4B-UN2-060M,none
125358,48219,DODGE 048219 F4B-UN2-055ME,none
125357,48205,DODGE 048205 F4B-UN2-055M,none
125356,48218,DODGE 048218 F4B-UN2-050ME,none
125355,48217,DODGE 048217 F4B-UN2-045ME,none
125354,48216,DODGE 048216 F4B-UN2-040ME,none
125353,48033,DODGE 048033 P2B-UN2-400E,none
125352,48016,DODGE 048016 P2B-UN2-400,none
125351,48015,DODGE 048015 P2B-UN2-315,none
125350,48031,DODGE 048031 P2B-UN2-308E,none
125349,48014,DODGE 048014 P2B-UN2-308,none
125348,48030,DODGE 048030 P2B-UN2-307E,none
125347,48029,DODGE 048029 P2B-UN2-300E,none
125346,48012,DODGE 048012 P2B-UN2-300,none
125345,48027,DODGE 048027 P2B-UN2-212E,none
125344,48010,DODGE 048010 P2B-UN2-212,none
125343,48026,DODGE 048026 P2B-UN2-211E,none
125342,48008,DODGE 048008 P2B-UN2-208,none
125341,48024,DODGE 048024 P2B-UN2-207E,none
125340,48007,DODGE 048007 P2B-UN2-207,none
125339,48023,DODGE 048023 P2B-UN2-203E,none
125338,48022,DODGE 048022 P2B-UN2-200E,none
125337,48005,DODGE 048005 P2B-UN2-200,none
125336,48003,DODGE 048003 P2B-UN2-112,none
125335,48019,DODGE 048019 P2B-UN2-111E,none
125334,48002,DODGE 048002 P2B-UN2-111,none
125333,48017,DODGE 048017 P2B-UN2-107E,none
125332,48000,DODGE 048000 P2B-UN2-107,none
125331,48131,DODGE 048131 P2B-UN2-085ME,none
125330,48116,DODGE 048116 P2B-UN2-085M,none
125329,48115,DODGE 048115 P2B-UN2-080M,none
125328,48128,DODGE 048128 P2B-UN2-070ME,none
125327,48126,DODGE 048126 P2B-UN2-060ME,none
125326,48111,DODGE 048111 P2B-UN2-060M,none
125325,48067,DODGE 048067 F4B-UN2-400E,none
125324,48066,DODGE 048066 F4B-UN2-315E,none
125323,48049,DODGE 048049 F4B-UN2-315,none
125322,48065,DODGE 048065 F4B-UN2-308E,none
125321,48064,DODGE 048064 F4B-UN2-307E,none
125320,48047,DODGE 048047 F4B-UN2-307,none
125319,48062,DODGE 048062 F4B-UN2-215E,none
125318,48045,DODGE 048045 F4B-UN2-215,none
125317,48061,DODGE 048061 F4B-UN2-212E,none
125316,48043,DODGE 048043 F4B-UN2-211,none
125315,48059,DODGE 048059 F4B-UN2-208E,none
125314,48042,DODGE 048042 F4B-UN2-208,none
125313,48058,DODGE 048058 F4B-UN2-207E,none
125312,48057,DODGE 048057 F4B-UN2-203E,none
125311,48040,DODGE 048040 F4B-UN2-203,none
125310,48055,DODGE 048055 F4B-UN2-115E,none
125309,48038,DODGE 048038 F4B-UN2-115,none
125308,48054,DODGE 048054 F4B-UN2-112E,none
125307,48053,DODGE 048053 F4B-UN2-111E,none
125306,48052,DODGE 048052 F4B-UN2-108E,none
125305,48035,DODGE 048035 F4B-UN2-108,none
125304,48051,DODGE 048051 F4B-UN2-107E,none
125303,130276,DODGE 130276 P2B-SXV-008-NL,none
125302,130310,DODGE 130310 P2B-SXV-008 1/2^ BORE,NTN PNR1/2RS; Hub City Inc (Regal) 1001-00801; Browning (Regal) VPE-108; Timken (Fafnir) VAS 1/2; 
125301,130351,DODGE 130351 WSTU-SXV-203 2 3/16^ BORE,none
125300,130349,DODGE 130349 WSTU-SXV-200 2^ BORE,none
125299,130348,DODGE 130348 WSTU-SXV-115 1 15/16^ BORE,none
125298,130347,DODGE 130347 WSTU-SXV-112 1 3/4^ BORE,none
125297,131250,DODGE 131250 WSTU-SXV-108 1 1/2^ BORE,Browning (Regal) VTWE-124; 
125296,131249,DODGE 131249 WSTU-SXV-107 1 7/16^ BORE,Timken (Fafnir) VTU1 7/16; Browning (Regal) VTWE-123; 
125295,131248,DODGE 131248 WSTU-SXV-106 1 3/8^ BORE,Browning (Regal) VTWE-122; 
125294,131246,DODGE 131246 WSTU-SXV-104 1 1/4^ BORE,Browning (Regal) VTWE-120; 
125293,131244,DODGE 131244 WSTU-SXV-103 1 3/16^ BORE,Timken (Fafnir) VTU1 3/16; Browning (Regal) VTWE-119; 
125292,131243,DODGE 131243 WSTU-SXV-102 1 1/8^ BORE,Browning (Regal) VTWE-118; 
125291,131240,DODGE 131240 WSTU-SXV-015 15/16^ BORE,Browning (Regal) VTWE-115; 
125290,131239,DODGE 131239 WSTU-SXV-014 7/8^ BORE,Browning (Regal) VTWE-114; 
125289,131238,DODGE 131238 WSTU-SXV-012 3/4^ BORE,Browning (Regal) VTWE-112; 
125288,131985,DODGE 131985 P2B-SXVB-015,Timken (Fafnir) VAK 15/16; Browning (Regal) VPLE-115; SKF SYH 15/16 FM; 
125287,131984,DODGE 131984 P2B-SXVB-014,NTN JELPL-7/8; Browning (Regal) VPLE-114; Timken (Fafnir) VAK 7/8; SKF SYH 7/8 FM; 
125286,131983,DODGE 131983 P2B-SXVB-012,Hub City Inc (Regal) 1001-00705; INA (Schaeffler) PAK3/4-N; Browning (Regal) VPLE-112; Timken (Fafnir) VAK 3/4; NTN JELPL-3/4; SKF SYH 3/4 FM; 
125285,130316,DODGE 130316 P2B-SXV-200L,NTN JELP-2; INA (Schaeffler) PASE2; Browning (Regal) VPE-132; Timken (Fafnir) VAS2; 
125284,130314,DODGE 130314 P2B-SXV-115 1 15/16^ BORE,NTN JELP-1.15/16; Hub City Inc (Regal) 1001-00824; Link-Belt (Rexnord) P3W231E; Browning (Regal) VPE-131; Timken (Fafnir) VAS1 15/16; SKF SY 1.15/16 FM; 
125283,130312,DODGE 130312 P2B-SXV-111 1 11/16^ BORE,none
125282,58275,DODGE 058275 P2B-SXV-107-NL,none
125281,131981,DODGE 131981 P2B-SXV-107 1 7/16^ BORE,Hub City Inc (Regal) 1001-00817; Link-Belt (Rexnord) P3W223E; Timken (Fafnir) VAS1 7/16; Browning (Regal) VPE-123; NTN JELP-1.7/16; SKF SY 1.7/16 FM; 
125280,131979,DODGE 131979 P2B-SXV-105 1 5/16^ BORE,none
125279,131977,DODGE 131977 P2B-SXV-104S,Hub City Inc (Regal) 1001-00813; Link-Belt (Rexnord) P3W2E20E; Timken (Fafnir) VAS1 1/4S; Browning (Regal) VPE-120S; NTN JELP-1.1/4S; SKF SY 1.1/4 AFM; 
125278,131978,DODGE 131978 P2B-SXV-104 1 1/4^ BORE,Hub City Inc (Regal) 1001-00814; Link-Belt (Rexnord) P3W220E; INA (Schaeffler) PASE1-1/4-N; Browning (Regal) VPE-120; Timken (Fafnir) VAS1 1/4; NTN JELP-1.1/4; SKF SY 1.1/4 FM; 
125277,131976,DODGE 131976 P2B-SXV-103 1 3/16^ BORE,Hub City Inc (Regal) 1001-00812; INA (Schaeffler) PASE1-3/16-N; Link-Belt (Rexnord) P3W219E; Timken (Fafnir) VAS1 3/16; Browning (Regal) VPE-119; NTN JELP-1.3/16; SKF SY 1.3/16 FM; 
125276,131996,DODGE 131996 P2B-SXV-100-NL,none
125275,131589,DODGE 131589 P2B-SXV-012-NL,none
125274,131970,DODGE 131970 P2B-SXV-012 3/4^ BORE,NTN JELP-3/4; Hub City Inc (Regal) 1001-00805; Link-Belt (Rexnord) P3W212E; INA (Schaeffler) PASE3/4-N; Timken (Fafnir) VAS 3/4; Browning (Regal) VPE-112; SKF SY 3/4 FM; 
125273,130311,DODGE 130311 P2B-SXV-010 5/8^ BORE,none
125272,131085,DODGE 131085 P2B-SXVU-104S,none
125271,53008,DODGE 053008 P2B-SXVU-103-NL,none
125270,131084,DODGE 131084 P2B-SXVU-103,none
125269,131082,DODGE 131082 P2B-SXVU-101,none
125268,130325,DODGE 130325 P2B-SXVU-010,none
125267,130323,DODGE 130323 P2B-SXVB-203,none
125266,130321,DODGE 130321 P2B-SXVB-200,none
125265,130319,DODGE 130319 P2B-SXVB-112,none
125264,130318,DODGE 130318 P2B-SXVB-111,Hub City Inc (Regal) 1001-00721; Browning (Regal) VPLE-127; Timken (Fafnir) VAK1 11/16; 
125263,131994,DODGE 131994 P2B-SXVB-107,Hub City Inc (Regal) 1001-00717; INA (Schaeffler) PAK1-7/16-N; Link-Belt (Rexnord) PL3W223E; Timken (Fafnir) VAK1 7/16; Browning (Regal) VPLE-123; NTN JELPL-1.7/16; SKF SYH 1.7/16 FM; 
125262,131992,DODGE 131992 P2B-SXVB-105,none
125261,131990,DODGE 131990 P2B-SXVB-104S,NTN JELPL-1.1/4S; Hub City Inc (Regal) 1001-00713; Link-Belt (Rexnord) PL3W2E20E; INA (Schaeffler) PAK1-1/4-206-N; Browning (Regal) VPLE-120S; Timken (Fafnir) VAK1 1/4S; SKF SYH 1.1/4 AFM; 
125260,131991,DODGE 131991 P2B-SXVB-104,INA (Schaeffler) PAK1-1/4-N; Hub City Inc (Regal) 1001-00714; Link-Belt (Rexnord) PL3W220E; Timken (Fafnir) VAK1 1/4; Browning (Regal) VPLE-120; NTN JELPL-1.1/4; SKF SYH 1.1/4 FM; 
125259,131988,DODGE 131988 P2B-SXVB-102,Hub City Inc (Regal) 1001-00711; Link-Belt (Rexnord) PL3W218E; Browning (Regal) VPLE-118; Timken (Fafnir) VAK1 1/8; NTN JELPL-1.1/8; SKF SYH 1.1/8 FM; 
125258,62339,DODGE 062339 FC-SXV-111,none
125257,130353,DODGE 130353 F2B-SXV-203 2 3/16^ BORE,none
125256,130352,DODGE 130352 F2B-SXV-200L,INA (Schaeffler) RCJT2; Link-Belt (Rexnord) FX3Y232N; Browning (Regal) VF2E-232; NTN UELFLU-2; Timken (Fafnir) RCJT2; SKF FYT 2. WF; 
125255,130331,DODGE 130331 F2B-SXV-200 2^ BORE,none
125254,130339,DODGE 130339 F4B-SXV-203 2 3/16^ BORE,NTN JELFU-2.3/16; Hub City Inc (Regal) 1002-02227; Browning (Regal) VF4E-135; Timken (Fafnir) VCJ2 3/16; SKF FY 2.3/16 FM; 
125253,130338,DODGE 130338 F4B-SXV-200L 2^ BORE,none
125252,130337,DODGE 130337 F4B-SXV-200 2^ BORE,none
125251,130335,DODGE 130335 F4B-SXV-112 1 3/4^ BORE,NTN JELFU-1.3/4; Hub City Inc (Regal) 1002-02222; Browning (Regal) VF4E-128; Timken (Fafnir) VCJ1 3/4; 
125250,130334,DODGE 130334 F4B-SXV-111 1 11/16^ BORE,none
125249,130344,DODGE 130344 NSTU-SXV-200L 2^ BORE,none
125248,130341,DODGE 130341 NSTU-SXV-112 1 3/4^ BORE,none
125247,130340,DODGE 130340 NSTU-SXV-111 1 11/16^ BORE,none
125246,131197,DODGE 131197 NSTU-SXV-107 1 7/16^ BORE,none
125245,131196,DODGE 131196 NSTU-SXV-106 1 3/8^ BORE,none
125244,131195,DODGE 131195 NSTU-SXV-105 1 5/16^ BORE,none
125243,131194,DODGE 131194 NSTU-SXV-104 1 1/4^ BORE,none
125242,131192,DODGE 131192 NSTU-SXV-103 1 3/16^ BORE,none
125241,131191,DODGE 131191 NSTU-SXV-102 1 1/8^ BORE,none
125240,131189,DODGE 131189 NSTU-SXV-100 1^ BORE,none
125239,131187,DODGE 131187 NSTU-SXV-014 7/8^ BORE,none
125238,131388,DODGE 131388 F4B-SXV-107 1 7/16^ BORE,Hub City Inc (Regal) 1002-02217; INA (Schaeffler) PCJ1-7/16-N; Link-Belt (Rexnord) F3W223E; Timken (Fafnir) VCJ1 7/16; Browning (Regal) VF4E-123; NTN JELFU-1.7/16; SKF FY 1.7/16 FM; 
125237,131387,DODGE 131387 F4B-SXV-106 1 3/8^ BORE,Hub City Inc (Regal) 1002-02216; Link-Belt (Rexnord) F3W222E; Browning (Regal) VF4E-122; Timken (Fafnir) VCJ1 3/8; SKF FY 1.3/8 FM; 
125236,131386,DODGE 131386 F4B-SXV-105 1 5/16^ BORE,none
125235,131385,DODGE 131385 F4B-SXV-104 1 1/4^ BORE,Hub City Inc (Regal) 1002-02214; Link-Belt (Rexnord) F3W220E; Browning (Regal) VF4E-120; Timken (Fafnir) VCJ1 1/4; NTN JELFU-1.1/4; SKF FY 1.1/4 FM; 
125234,131383,DODGE 131383 F4B-SXV-103 1 3/16^ BORE,Hub City Inc (Regal) 1002-02212; Link-Belt (Rexnord) F3W219E; Browning (Regal) VF4E-119; Timken (Fafnir) VCJ1 3/16; NTN JELFU-1.3/16; SKF FY 1.3/16 FM; 
125233,131382,DODGE 131382 F4B-SXV-102 1 1/8^ BORE,Hub City Inc (Regal) 1002-02211; NTN JELFU-1.1/8; Browning (Regal) VF4E-118; Timken (Fafnir) VCJ1 1/8; SKF FY 1.1/8 FM; 
125232,131380,DODGE 131380 F4B-SXV-100 1^ BORE,Hub City Inc (Regal) 1002-02209; Timken (Fafnir) VCJ1; Browning (Regal) VF4E-116; NTN JELFU-1; SKF FY 1. FM; 
125231,131379,DODGE 131379 F4B-SXV-015 15/16^ BORE,NTN JELFU-15/16; Timken (Fafnir) VCJ 15/16; Browning (Regal) VF4E-115; 
125230,130333,DODGE 130333 F4B-SXV-010 5/8^ BORE,Hub City Inc (Regal) 1002-02203; Timken (Fafnir) VCJ 5/8; Browning (Regal) VF4E-110; NTN JELFU-5/8; 
125229,59595,DODGE 059595 F2B-SXV-111-NL,none
125228,130328,DODGE 130328 F2B-SXV-111 1 11/16^ BORE,none
125227,131749,DODGE 131749 F2B-SXV-108 1 1/2^ BORE,Hub City Inc (Regal) 1002-02318; Link-Belt (Rexnord) FX3W224E; Browning (Regal) VF2E-124; Timken (Fafnir) VCJT1 1/2; NTN JELFLU-1.1/2; SKF FYT 1.1/2 FM; 
125226,58779,DODGE 058779 F2B-SXV-107-NL,none
125225,131747,DODGE 131747 F2B-SXV-106 1 3/8^ BORE,Hub City Inc (Regal) 1002-02316; Link-Belt (Rexnord) FX3W222E; Browning (Regal) VF2E-122; Timken (Fafnir) VCJT1 3/8; NTN JELFLU-1.3/8; SKF FYT 1.3/8 FM; 
125224,131746,DODGE 131746 F2B-SXV-105 1 5/16^ BORE,none
125223,131744,DODGE 131744 F2B-SXV-104S,Hub City Inc (Regal) 1002-02313; INA (Schaeffler) PCJT1-1/4-206-N; Link-Belt (Rexnord) FX3W2E20E; Browning (Regal) VF2E-120S; Timken (Fafnir) VCJT1 1/4S; NTN JELFLU-1.1/4S; SKF FYT 1.1/4 AFM; 
125222,131741,DODGE 131741 F2B-SXV-101 1 1/16^ BORE,none
125221,58778,DODGE 058778 F2B-SXV-100-NL,none
125220,131739,DODGE 131739 F2B-SXV-015 15/16^ BORE,Timken (Fafnir) VCJT 15/16; Browning (Regal) VF2E-115; SKF FYT 15/16 FM; 
125219,131738,DODGE 131738 F2B-SXV-014 7/8^ BORE,Timken (Fafnir) VCJT 7/8; Browning (Regal) VF2E-114; NTN JELFLU-7/8; SKF FYT 7/8 FM; 
125218,131737,DODGE 131737 F2B-SXV-012 3/4^ BORE,Hub City Inc (Regal) 1002-02305; INA (Schaeffler) PCJT3/4; Browning (Regal) VF2E-112; Timken (Fafnir) VCJT 3/4; NTN JELFLU-3/4; SKF FYT 3/4 FM; 
125217,130326,DODGE 130326 F2B-SXV-008 1/2^ BORE,none
125216,54436,Dodge 054436 TB-SC-204 BORE DIAMETER: 2-1/4 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125215,50555,DODGE 050555 TB-SC-203-HT TAP BASE STANDARD DUTY,none
125214,124480,DODGE 124480 TB-SC-200L TAP BASE STANDARD DUTY,none
125213,50736,DODGE 050736 TB-SC-115-FF TAP BASE STANDARD DUTY,none
125212,54781,Dodge 054781 TB-SC-112 BORE DIAMETER: 1-3/4 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125211,54548,Dodge 054548 TB-SC-111 BORE DIAMETER: 1-11/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125210,49859,Dodge 049859 TB-SC-110L BORE DIAMETER: 1-5/8 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125209,128998,Dodge 128998 TB-SC-110 BORE DIAMETER: 1-5/8 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125208,124479,Dodge 124479 TB-SC-108 BORE DIAMETER: 1-1/2 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125207,124476,Dodge 124476 TB-SC-107-NL BORE DIAMETER: 1-7/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125206,124473,Dodge 124473 TB-SC-107 BORE DIAMETER: 1-7/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125205,124471,Dodge 124471 TB-SC-105 BORE DIAMETER: 1-5/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125204,57752,DODGE 057752 TB-SC-104S-NL TAP BASE STANDARD DUTY,none
125203,58267,Dodge 058267 TB-SC-104-NL BORE DIAMETER: 1-1/4 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125202,124470,Dodge 124470 TB-SC-104 BORE DIAMETER: 1-1/4 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125201,124467,Dodge 124467 TB-SC-102 BORE DIAMETER: 1-1/8 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125200,124466,Dodge 124466 TB-SC-101 BORE DIAMETER: 1-1/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125199,50827,Dodge 050827 TB-SC-100-NL BORE DIAMETER: 1 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125198,124465,Dodge 124465 TB-SC-100 BORE DIAMETER: 1 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125197,124464,Dodge 124464 TB-SC-015 BORE DIAMETER: 15/16 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125196,62836,Dodge 062836 TB-SXR-200 BORE DIAMETER: 2 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125195,52737,Dodge 052737 TB-SXR-107-NL BORE DIAMETER: 1-7/16 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125194,49802,Dodge 049802 TB-SXR-107 BORE DIAMETER: 1-7/16 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125193,64536,Dodge 064536 TB-SXR-106 BORE DIAMETER: 1-3/8 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125192,62307,Dodge 062307 TB-SXR-104 BORE DIAMETER: 1-1/4 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125191,57692,Dodge 057692 TB-SXR-103 BORE DIAMETER: 1-3/16 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125190,53339,Dodge 053339 TB-SXR-102 BORE DIAMETER: 1-1/8 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125189,53219,Dodge 053219 TB-SXR-012 BORE DIAMETER: 3/4 INCH HOUSING: TAP BASED LOCKING: ECCENTRIC COLLAR,none
125188,124463,Dodge 124463 TB-SC-014 BORE DIAMETER: 7/8 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125187,58268,Dodge 058268 TB-SC-012-NL BORE DIAMETER: 3/4 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125186,124460,Dodge 124460 TB-SC-008 BORE DIAMETER: 1/2 INCH HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW,none
125185,130275,DODGE 130275 TB-SXV-100-NL,none
125184,124474,DODGE 124474 TB-SXV-100,none
125183,124662,Dodge 124662 LFT-SC-012-NL BORE DIAMETER: 3/4 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01703; Browning (Regal) VF2S-112M; 
125182,124641,Dodge 124641 LFT-SC-010 BORE DIAMETER: 5/8 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Boston Gear (Altra) XL2-5/8; Hub City Inc (Regal) 1002-01902; 
125181,124660,Dodge 124660 LFT-SC-008-NL BORE DIAMETER: 1/2 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01701; Browning (Regal) VF2S-108M; 
125180,124640,Dodge 124640 LFT-SC-008 BORE DIAMETER: 1/2 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01901; Boston Gear (Altra) XL2-1/2; 
125179,124653,Dodge 124653 LFT-SC-107 BORE DIAMETER: 1-7/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01911; Browning (Regal) VF2S-123M; 
125178,124672,Dodge 124672 LFT-SC-106-NL BORE DIAMETER: 1-3/8 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01710; Browning (Regal) VF2S-122M; 
125177,124652,Dodge 124652 LFT-SC-106 BORE DIAMETER: 1-3/8 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01910; Boston Gear (Altra) XL2-1-3/8; 
125176,124651,Dodge 124651 LFT-SC-105 BORE DIAMETER: 1-5/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,none
125175,124445,Dodge 124445 FB-SC-104 BORE DIAMETER: 1-1/4 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Browning (Regal) VFBB-220; Link-Belt (Rexnord) FB3S220E; Sealmaster (Regal) FB-20; 
125174,124443,Dodge 124443 FB-SC-103 BORE DIAMETER: 1-3/16 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Link-Belt (Rexnord) FB3S219E; Browning (Regal) VFBB-219; Sealmaster (Regal) FB-19; 
125173,124441,Dodge 124441 FB-SC-101 BORE DIAMETER: 1-1/16 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,none
125172,51774,Dodge 051774 FB-SC-100-NL BORE DIAMETER: 1 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,none
125171,124440,Dodge 124440 FB-SC-100 BORE DIAMETER: 1 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Timken (Fafnir) YFB1 SGT; Browning (Regal) VFBB-216; Link-Belt (Rexnord) FB3S216E; Sealmaster (Regal) FB-16; 
125170,56765,Dodge 056765 FB-SC-014-NL BORE DIAMETER: 7/8 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,none
125169,124438,Dodge 124438 FB-SC-014 BORE DIAMETER: 7/8 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Browning (Regal) VFBB-214; Sealmaster (Regal) FB-14; 
125168,124437,Dodge 124437 FB-SC-012 BORE DIAMETER: 3/4 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Peer Bearing UCFB 204-12  FLG BRG; NTN UCFH204-012D1; Browning (Regal) VFBB-212; Link-Belt (Rexnord) FB3S212E; Sealmaster (Regal) FB-12; 
125167,124436,Dodge 124436 FB-SC-010 BORE DIAMETER: 5/8 INCH HOUSING: 3-BOLT FLANGE BRACKET LOCKING: SET SCREW,Sealmaster (Regal) FB-10; 
125166,124649,Dodge 124649 LFT-SC-104S BORE DIAMETER: 1-1-4 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01909; Boston Gear (Altra) XL2-1-1/4S; 
125165,124668,Dodge 124668 LFT-SC-103-NL BORE DIAMETER: 1-3/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01708; Browning (Regal) VF2S-119M; 
125164,124648,Dodge 124648 LFT-SC-103 BORE DIAMETER: 1-3/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01908; Boston Gear (Altra) XL2-1-3/16; 
125163,124667,Dodge 124667 LFT-SC-102-NL BORE DIAMETER: 1-1/8 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01707; Browning (Regal) VF2S-118M; 
125162,124666,Dodge 124666 LFT-SC-101-NL BORE DIAMETER: 1-1/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,none
125161,124646,Dodge 124646 LFT-SC-101 BORE DIAMETER: 1-1/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,none
125160,124665,Dodge 124665 LFT-SC-100-NL BORE DIAMETER: 1 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Hub City Inc (Regal) 1002-01706; Browning (Regal) VF2S-116M; 
125159,124664,Dodge 124664 LFT-SC-015-NL BORE DIAMETER: 15/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Browning (Regal) VF2S-115M; 
125158,124644,Dodge 124644 LFT-SC-015 BORE DIAMETER: 15/16 INCH HOUSING: 2-BOLT LIGHT DUTY FLANGE LOCKING: SET SCREW,Boston Gear (Altra) XL2-15/16; 
