id,catalog_number,additional_description
2070800,B54BMP-SK100,
2070801,B54BMP-SK150,
2070802,B54BMP-SK200,
2070803,B54BMP-SK250,
2070804,B54BMP-SK300,
2070805,B54BMP-SK400,
2070806,B54G-P100,
2070807,B54G-P150,
2070808,B54G-P200,
2070809,B54G-P250,
2070810,B54G-P300,
2070811,B54G-P400,
2070813,BCC-050,
2070814,BCC-075,
2070815,BCC-100,
2070816,BCC-150,
2070817,BCC-200,
2070818,BCC-250,
2070819,BCC-300,
2070820,BCC-400,
2070821,BCC-600,
2070822,BCC-800,
2070823,BCW-050,
2070824,BCW-075,
2070825,BCW-100,
2070826,BCW-150,
2070827,BCW-200,
2070828,BCW-250,
2070829,BCW-300,
2070830,BCW-400,
2070831,BCW-600,
2070832,BCW-800,
2070833,BFNE150,
2070834,BL-RK10,
2070835,BL-RK102,
2070836,BL-RK11,
2070837,BL-RK112,
2070838,BL-RK12,
2070839,BL-RK122,
2070840,BL-RK13,
2070841,BL-RK4,
2070842,BL005,
2070843,BLT50300,
2070844,BLT78500,
2070845,BN15NYFD,
2070846,BN25NYFD,
2070847,BNT100S,
2070848,BNT150S,
2070849,BOC-T04,
2070850,BOC-T06,
2070851,BOC-T08,
2070852,BOC-T12,
2070853,BOC-T16,
2070854,BOC-T20,
2070855,BOC-T24,
2070856,BOC-T32,
2070857,BRN150,
2070858,BRN150S-I,
2070859,BS-01-R100,
2070860,BS-01-R150,
2070861,BS-01-R200,
2070862,BS-01-R250,
2070863,BS-01-R300,
2070864,BS-02-R100-200,
2070865,BS-02-R250-300,
2070866,BS-05-R100-200,
2070867,BS-05-R250-300,
2070868,BS-09-U100-200,
2070869,BS-09-U250-300,
2070870,BS-1418-R100200,
2070871,BS-1418-R250300,
2070872,BS-1425-R100200,
2070873,BS-1425-R250300,
2070874,BS-16-R100,
2070875,BS-16-R150,
2070876,BS-16-R200,
2070877,BS-16-R250,
2070878,BS-16-R300,
2070879,BS-2418-R100200,
2070880,BS-2425-R100200,
2070881,BS-2425-R250300,
2070882,BS-26-R200,
2070883,BS-26-R300,
2070884,BS-31-R100-200,
2070885,BS-31-R250-300,
2070886,BS-32-R100-200,
2070887,BS-32-R250-300,
2070888,BS-35-R100-200,
2070889,BS-35-R250-300,
2070890,BS-36-R150,
2070891,BS-36-R200,
2070892,BS400,
2070893,BS500,
2070894,BS600,
2070895,BS800,
2070896,BSB-03,
2070897,BSB-04,
2070898,BSB-05,
2070899,BSB-06,
2070900,BSB-06T,
2070901,BSB-08,
2070902,BSB-10,
2070903,BSB-12,
2070904,BSB-12T,
2070905,BSB-16,
2070906,BSB-16T,
2070907,BSB-20Z,
2070908,BSKTST250F,
2070909,BSKTST250S,
2070910,BSKTST300F,
2070911,BSKTST300S,
2070912,BSKTST400F,
2070913,BSKTST400S,
2070914,BSKTST450F,
2070915,BSKTST500F,
2070916,BSKTST500S,
2070917,BSKTST600F,
2070918,BSKTST600S,
2070919,BSO150S,
2070920,BTB-T04,
2070921,BTB-T06,
2070922,BTB-T08,
2070923,BTB-T12,
2070924,BTB-T16,
2070925,BTB-T16Z,
2070926,BTB-T20Z,
2070927,BTB-T24Z,
2070928,BV2F,
2070929,BV2IG-05011-A,
2070930,BV2IG-05033-A,
2070931,BV2IG-07511-A,
2070932,BV2IG-07533-A,
2070933,BV2IG-10011-A,
2070934,BV2IG-10033-A,
2070935,BV2IG-12511-A,
2070936,BV2IG-12533-A,
2070937,BV2IG-15011-A,
2070938,BV2IG-15033-A,
2070939,BV2IG-20011-A,
2070940,BV2IG-20033-A,
2070941,BV2IG-25011-A,
2070942,BV2IG-25033-A,
2070943,BV2IG-30011-A,
2070944,BV2IG-30033-A,
2070945,BV2IG-40011-A,
2070946,BV2IG-40011-BBC,
2070947,BV2IG-40011-BCC,
2070948,BV2IG-40011-EA,
2070949,BV2IG-40011-EG,
2070950,BV2IG-40011-EK,
2070951,BV2IG-40011-ES,
2070952,BV2IG-40011-ET,
2070953,BV2IG-40033-A,
2070954,BV2M,
2070955,BW10150S-PC,
2070956,BW10AT,
2070957,BW75AT,
2070958,C1001,
2070959,C1002,
2070960,C1503,
2070961,C2001,
2070962,C2503,
2070963,C4504,
2070964,C6004,
2070965,C6005,
2070966,C7504,
2070967,C7505,
2070968,CAP100F-C,
2070969,CAP100FABS,
2070970,CAP100S-C,
2070971,CAP150F-C,
2070972,CAP150FABS,
2070973,CAP150S-C,
2070974,CAP200F-C,
2070975,CAP200FABS,
2070976,CAP200S-C,
2070977,CAP250F-C,
2070978,CAP250FABS,
2070979,CAP250S-C,
2070980,CAP300F-C,
2070981,CAP300FABS,
2070982,CAP400F-C,
2070983,CAP400F-C-LH,
2070984,CAP400FABS,
2070985,CAP450F-C,
2070986,CAP450F-C-LH,
2070987,CAP450FABS,
2070988,CAP500F-C,
2070989,CAP500F-C-LH,
2070990,CAP500FABS,
2070991,CAP600F-C,
2070992,CAP600F-C-LH,
2070993,CAP600FABS,
2070994,CDMHCB40225,
2070995,CDMHCB40230,
2070996,CDMHCB50230,
2070997,CDMHCB60225,
2070998,CDMHCB60230,
2070999,CF125-3CS,
2071000,CF125-3SS,
2071001,CF125-4CS,
2071002,CF125-4SS,
2071003,CF125-5CS,
2071004,CF125-5SS,
2071005,CF125-6CS,
2071006,CF125-6SS,
2071007,CF400-10CSHD,
2071008,CF400-11CSHD,
2071009,CF400-12CSHD,
2071010,CF400-13CSHD,
2071011,CF400-14CSHD,
2071012,CF400-15CSHD,
2071013,CF400-16CSHD,
2071014,CF400-6CSHD,
2071015,CF400-7CSHD,
2071016,CF400-8CSHD,
2071017,CF400-9CSHD,
2071018,CFB150NYF,
2071019,CFB250NYC,
2071020,CFB250NYF,
2071021,CFFR150,
2071022,CFFR150NST,
2071023,CFS800-1CS,
2071024,CFS800-2CS,
2071025,CFS800-3CS,
2071026,CFS800-4CS,
2071027,CFS800-5CS,
2071028,CFS800-6CS,
2071029,CFS800-7CS,
2071030,CFS800-8CS,
2071031,CGN150S,
2071032,CGSN151S,
2071033,CPV150S,
2071034,CS125-3CS,
2071035,CS125-3SS,
2071036,CS125-4CS,
2071037,CS125-4SS,
2071038,CS125-5CS,
2071039,CS125-5SS,
2071040,CS125-6CS,
2071041,CS125-6SS,
2071042,CSC-T04-1,
2071043,CSC-T04-2,
2071044,CSC-T06-1,
2071045,CSC-T06-2,
2071046,CSC-T08-1,
2071047,CSC-T08-2,
2071048,CSC-T12-1,
2071049,CSC-T12-2,
2071050,CSC-T16-1,
2071051,CSC-T16-2,
2071052,CSC-T20-1,
2071053,CSC-T20-2,
2071054,CSC-T24-1,
2071055,CSC-T24-2,
2071056,CSC-T32-1,
2071057,CSCTF25F30T-C,
2071058,CSCTF25F30T-P,
2071059,CSCTM25F30T-C,
2071060,CSCTM25F30T-P,
2071061,CSS100-3CS,
2071062,CSS100-4CS,
2071063,CSS100-5CS,
